bookID,title,authors,average_rating,language_code,num_pages,ratings_count,publication_date,publisher
40706,Mind Over Money: How to Match Your Emotional Style to a Winning Financial Strategy,John W. Schott/Jean S. Arbeiter,2.67,en-US,260,3,1998-01-01,Little Brown and Company
1856,In Web Design for Libraries,Charles P. Rubenstein,2.67,eng,196,9,2006-12-01,Libraries Unlimited
18722,Alentejo Blue,Monica Ali,2.72,eng,304,788,2006-06-20,Scribner Book Company
41258,Raised on Rock: Growing Up at Graceland,David Stanley/Mark Bego,2.75,eng,192,4,1931-12-01,Trafalgar Square Publishing
20962,Maurice Sendak's Seven Little Monsters: What Time is It? - Book #4,Arthur Yorinks/Raymond Jafelice,2.75,eng,24,4,2004-04-05,Volo
31880,Introduction to the Philosophies of Research and Criticism in Education and the Social Sciences,James   Paul,2.75,eng,360,4,2004-10-18,Pearson
34892,Bright Star's Promise,Karen A. Bale,2.77,eng,444,13,1994-07-01,Zebra
18829,Yellow Dog,Martin Amis,2.79,eng,352,1449,2005-01-04,Vintage
20367,Ewan McGregor: From Junkie to Jedi,Brian J. Robb,2.8,eng,144,10,1999-05-05,Plexus Publishing
1584,Cliffs Notes on Aristophanes' Lysistrata  The Birds  The Clouds  The Frogs,W. John Campbell,2.8,eng,80,5,1983-12-29,Cliffs Notes
16717,You Don't Love Me Yet,Jonathan Lethem,2.81,eng,225,3854,2007-05-29,Doubleday Books
39441,Challengers of the Unknown: Stolen Moments  Borrowed Time,Howard Chaykin/Michelle Madsen,2.82,eng,144,44,2006-03-29,DC Comics
6613,Four Blondes,Candace Bushnell,2.82,eng,256,23409,2001-06-08,Grove Press
24929,Lost,Gregory Maguire/Douglas Smith,2.82,eng,340,13152,2002-09-17,William Morrow Paperbacks
27189,Teleportation: From Star Trek to Tesla,Commander X/Tim R. Swartz,2.83,eng,139,2,2012-08-20,Inner Light - Global Communications
17045,American Government: Continuity and Change  Texas Edition,Karen  O'Connor/Larry J. Sabato,2.83,eng,1088,0,2005-05-26,Longman Publishing Group
17040,American Government: Continuity and Change,Karen  O'Connor/Larry J. Sabato,2.83,eng,792,1,2005-03-04,Longman Publishing Group
42831,The Parrot-Head Companion: An Insider's Guide to Jimmy Buffett,Thomas Ryan,2.83,eng,176,6,1998-01-01,Citadel Press
2167,Cliffs Notes on Hemingway's The Old Man and the Sea,Jeanne Sallade Criswell/Gary Carey,2.83,en-US,80,4,2000-12-05,Cliffs Notes
42808,P.S. I Love You (Sealed with a Kiss #4),Valerie Parv,2.83,eng,192,23,1995-04-24,Harlequin Romance
1658,American Government: Continuity and Change  Alternate Edition,Karen  O'Connor/Larry J. Sabato,2.83,eng,664,0,2005-03-11,Longman Publishing Group
30680,Up in the Air,Walter Kirn,2.86,eng,320,3504,2002-09-24,Anchor
13149,The Thomas Berryman Number,James Patterson,2.86,eng,272,4320,1996-04-01,Grand Central Publishing
14917,Desire and Duty: A Sequel to Jane Austen's Pride and Prejudice,Ted Bader/Marilyn Bader,2.86,eng,286,114,1997-02-01,Revive Publishing
16798,The Diagnosis,Alan Lightman,2.86,eng,384,898,2002-02-19,Vintage
35819,Lair of the White Worm,Bram Stoker,2.86,eng,120,2276,2002-10-01,Deodand Publishing
3918,Divorcio a la Francesa: Le Divorce,Diane Johnson/Carlos Milla Soler/Roberto Fernandez Sastre,2.88,spa,388,6,2003-06-01,Santillana USA Publishing Company
28227,Checkpoint,Nicholson Baker,2.88,eng,128,654,2005-04-12,Vintage
6644,Le Divorce,Diane Johnson,2.88,eng,320,3602,2003-07-01,Plume
33032,Queen of the Underworld,Gail Godwin,2.89,eng,368,541,2007-01-30,Ballantine Books
8881,Planet of the Apes: The Fall,William T. Quick,2.92,eng,288,53,2002-06-04,HarperEntertainment
41073,Children of the Thunder / The Tides of Time / The Crucible of Time,John Brunner,2.92,eng,800,11,1995-05-03,Wings
41154,Secret Identity (Lost  #2),Catherine Hapka,2.93,eng,176,195,2006-01-01,Voice
32181,Zelda's Cut,Philippa Gregory,2.94,eng,432,65,2001-02-01,HarperCollins Publishers
19608,The Doctor's House,Ann Beattie,2.96,eng,288,164,2003-02-11,Scribner
28585,Judge Dredd (Audio Cassette),Neal Barrett Jr./Martha Banta,2.96,eng,0,6,1995-07-01,Random House Audio
35760,Mistaken Identity,Nayantara Sahgal,2.98,eng,324,0,2016-12-30,Harper Collins
4221,The Guide to Dan Brown's the Solomon Key,Greg  Taylor,2.98,en-US,183,34,2005-09-30,DeVorss & Company
159,Dinner with Anna Karenina,Gloria Goldreich,2.99,eng,360,411,2006-01-28,Mira Books
24594,Selections from the Oakland Tribune Archives (Images of America: California),Annalee Allen,3,eng,128,2,2006-10-30,Arcadia Publishing (SC)
36266,Magical Creatures (Easy To Read! Easy To Draw!),Joan Holub/Dana Regan,3,eng,48,1,2003-10-27,Price Stern Sloan
19084,Aristotle's Ethics (SparkNotes Literature Guides),SparkNotes,3,eng,80,2,2003-06-13,SparkNotes
26800,C++ Programmer's Notebook,Jim Keogh/John Shapley Gray,3,eng,528,3,2001-08-16,Prentice Hall PTR
42410,The Easter Rabbit's Parade,Lois Lenski,3,eng,40,29,2004-01-27,Random House Books for Young Readers
3167,Phaedrus/Apology/Crito/Symposium,Plato/Benjamin Jowett,3,en-US,144,19,2006-01-01,Digireads.com
28617,A Free Enquiry Into the Vulgarly Received Notion of Nature,Robert Boyle/Michael Hunter/Edward B. Davis,3,eng,212,2,1996-07-11,Cambridge University Press
41378,Flirting With Danger,Kate Walker,3,eng,188,12,1996-06-01,Harlequin
30786,Verserade tankar,Lennart Hellsing/Fibben Hald,3,swe,128,1,1999-09-01,Alfabeta Bokförlag
2452,Theocritus: Select Poems: Select Poems,Theocritus/Kenneth James Dover,3,grc,395,1,1991-06-01,Bristol Classical Press
36461,Proof of Concept,Larry Young/Damian Couceiro/Kieron Dwyer,3,eng,134,6,2005-01-18,AIT Planet Lar
33581,The Work of Work Servitude  Slavery and Labor in Medieval England,Allen J. Frantzen/Ruth Mazo Karras/Madonna J. Hettinger/Elizabeth Stevens Girsch/John Ruffing/George Ovitt Jr./Ross Samson/Niall Brady/Douglas Moffat/David Aers/Louise M. Bishop,3,eng,240,1,1994-08-14,Cruithne Press
8889,Return to the Planet of the Apes #2: Escape from Terror Lagoon,William Arrow,3,eng,0,10,1976-04-12,Ballantine Books
32189,Sukhoi Su-27 Flanker (WarbirdTech  #42),Yefim Gordon/Peter Davison,3,eng,104,6,2006-04-01,Specialty Press
2756,New Media Language,Jean Aitchison/Diana M. Lewis,3,eng,209,2,2003-05-22,Routledge
40597,My Dirty Thirties: Romantic Hedonism,Kelly  Carr,3,eng,144,8,2004-07-01,New Tradition Books
16710,The Toy Maker: The Life and Times of Inventor Frank Hornby,Anthony Mcreavy,3,eng,352,1,2004-08-01,Ebury Press
16726,Cypress Gardens (Images of America: Florida),Mary M. Flekke/Sarah E. MacDonald/Randall M. MacDonald,3,eng,128,5,2006-11-27,Arcadia Publishing (SC)
37902,Turn of the Cards,Georgina Grey,3,eng,0,3,1979-05-12,Fawcett Coventry
10713,Closing Time,Joseph Heller,3.02,eng,464,106,2003-07-01,Simon & Schuster (Trade Division)
42926,Nightingale's Song,Kate Pennington,3.02,en-GB,219,40,2006-10-19,Hachette Children's
